Date,Campaign,Strategy,Placement,Creative,Region,Source,Impressions,Clicks,Conversions,Revenue,CTR (%),Spend,CPC,CPA,ROAS
2025-11-05,,Retention,Retargeting | Website Visitors,Creative 6,surfside,4,1,2,271.75,0.25,0.07,0.07,0.04,3882.14
2025-11-05,,Retention,Retargeting | Cart Abandoners,Creative 4,surfside,1,0,0,0.00,0.00,0.02,,,
2025-11-05,,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 7,surfside,2,1,0,37.50,0.50,0.03,0.03,,1250.00
2025-11-05,,Prospecting,Audience | Cannabis Consumers,Creative 7,surfside,7,0,0,0.00,0.00,0.12,,,
2025-11-05,,Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 8,surfside,1,0,0,0.00,0.00,0.02,,,
2025-11-05,,Prospecting,Audience | Cannabis Consumers,Creative 5,surfside,4,0,0,0.00,0.00,0.07,,,
2025-11-05,,Prospecting,Audience | Cannabis Consumers,Creative 8,surfside,4,0,0,0.00,0.00,0.07,,,
2025-11-05,,Retention,Retargeting | Cart Abandoners,Creative 7,surfside,1,0,1,75.00,0.00,0.02,,0.02,3750.00
2025-11-05,,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 3,surfside,4,0,0,65.50,0.00,0.07,,,935.71
2025-11-05,,Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 5,surfside,2,0,0,0.00,0.00,0.03,,,
2025-11-05,,Retention,Retargeting | Website Visitors,Creative 7,surfside,7,0,5,288.00,0.00,0.12,,0.02,2400.00
2025-11-05,,Retention,Retargeting | Website Visitors,Creative 8,surfside,2,0,2,227.55,0.00,0.03,,0.02,7585.00
2025-11-05,,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 2,surfside,3,0,1,92.50,0.00,0.05,,0.05,1850.00
2025-11-05,,Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 2,surfside,1,0,0,0.00,0.00,0.02,,,
2025-11-05,,Retention,Audience | Recent Purchasers (Last Purchased within the last 45 days),Creative 8,surfside,1,0,2,67.50,0.00,0.02,,0.01,3375.00
2025-11-05,,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 8,surfside,1,0,0,0.00,0.00,0.02,,,
2025-11-05,,Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 6,surfside,12,0,2,284.25,0.00,0.20,,0.10,1421.25
2025-11-05,,Retention,Retargeting | Website Visitors,Creative 3,surfside,1,0,0,41.00,0.00,0.02,,,2050.00
2025-11-05,,Retention,Retargeting | Website Visitors,Creative 2,surfside,2,1,1,165.00,0.50,0.03,0.03,0.03,5500.00
2025-11-05,,Prospecting,Audience | Cannabis Consumers,Creative 6,surfside,3,0,1,69.25,0.00,0.05,,0.05,1385.00
2025-11-05,,Retention,Audience | Lapsed Purchasers (Last Purchased between 45 days and 12 months),Creative 8,surfside,2,0,0,0.00,0.00,0.03,,,
2025-11-05,,Retention,Retargeting | Website Visitors,Creative 1,surfside,3,0,0,0.00,0.00,0.05,,,
2025-11-05,,Retention,Retargeting | Cart Abandoners,Creative 1,surfside,2,0,0,0.00,0.00,0.03,,,
2025-11-05,,Retention,Retargeting | Website Visitors,Creative 4,surfside,1,0,0,0.00,0.00,0.02,,,
2025-11-05,,Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 7,surfside,3,0,0,35.00,0.00,0.05,,,700.00
2025-11-05,,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 7,surfside,1,0,0,0.00,0.00,0.02,,,
2025-11-05,,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 6,surfside,3,0,2,199.00,0.00,0.05,,0.02,3980.00
2025-11-05,,Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 3,surfside,2,0,0,0.00,0.00,0.03,,,
2025-11-05,,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 5,surfside,2,0,1,24.75,0.00,0.03,,0.03,825.00
2025-11-05,,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,surfside,2,0,1,56.00,0.00,0.03,,0.03,1866.67
2025-11-05,,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 4,surfside,2,0,0,0.00,0.00,0.03,,,
2025-11-04,,Retention,Retargeting | Cart Abandoners,Creative 2,surfside,2635,4,1,59.33,0.00,44.80,11.20,44.80,1.32
2025-11-04,,Prospecting,Audience | Cannabis Consumers,Creative 5,surfside,13120,13,0,0.00,0.00,223.04,17.16,,
2025-11-04,,Prospecting,Audience | Cannabis Consumers,Creative 6,surfside,14342,15,2,110.00,0.00,243.81,16.25,121.90,0.45
2025-11-04,,Prospecting,Audience | Cannabis Consumers,Creative 7,surfside,13056,15,0,0.00,0.00,221.95,14.80,,
2025-11-04,,Prospecting,Audience | Cannabis Consumers,Creative 8,surfside,14131,11,0,0.00,0.00,240.23,21.84,,
2025-11-04,,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 2,surfside,2428,8,3,556.00,0.00,41.28,5.16,13.76,13.47
2025-11-04,,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,surfside,6271,11,3,196.00,0.00,106.61,9.69,35.54,1.84
2025-11-04,,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 6,surfside,6692,6,0,0.00,0.00,113.76,18.96,,
2025-11-04,,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 7,surfside,6311,7,0,0.00,0.00,107.29,15.33,,
2025-11-04,,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 8,surfside,6731,6,2,341.00,0.00,114.43,19.07,57.22,2.98
2025-11-04,,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 2,surfside,2258,0,0,0.00,0.00,38.39,,,
2025-11-04,,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 4,surfside,1,0,3,1280.00,0.00,0.02,,0.01,64000.00
2025-11-04,,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 5,surfside,6076,6,0,0.00,0.00,103.29,17.22,,
2025-11-04,,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 6,surfside,6644,2,0,0.00,0.00,112.95,56.48,,
2025-11-04,,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 7,surfside,6271,6,0,0.00,0.00,106.61,17.77,,
2025-11-04,,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 8,surfside,6829,14,0,0.00,0.00,116.09,8.29,,
2025-11-04,,Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 1,surfside,1,0,1,35.00,0.00,0.02,,0.02,1750.00
