Strategy Name,Placement Name,Creative Name,Creative Size,Event Date,Impressions,Clicks, Media Spend ,Conversions,Conversion Value, ROAS 
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,728x90,11/3/2025,375,0, $ 2.06 ,1,56, $ 27.15 
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,160x600,11/3/2025,91,0, $ 0.50 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 6,300x250,11/5/2025,2,0, $ 0.01 ,1,127.5," $ 11,590.91 "
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 6,320x50,11/5/2025,1,0, $ 0.01 ,1,71.5," $ 13,000.00 "
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 6,728x90,11/4/2025,371,1, $ 2.04 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 6,320x50,11/4/2025,2118,3, $ 11.65 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 6,160x600,11/4/2025,57,0, $ 0.31 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 6,320x100,11/4/2025,121,0, $ 0.67 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 6,300x250,11/4/2025,4025,2, $ 22.14 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 6,320x50,11/3/2025,2648,0, $ 14.56 ,2,155, $ 10.64 
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 6,300x250,11/3/2025,5302,3, $ 29.16 ,2,345, $ 11.83 
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 6,728x90,11/3/2025,383,1, $ 2.11 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 6,160x600,11/3/2025,90,0, $ 0.50 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 6,320x100,11/3/2025,149,0, $ 0.82 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 7,728x90,11/5/2025,1,0, $ 0.01 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 7,160x600,11/4/2025,60,0, $ 0.33 ,0,0, $ -   
