date,campaign_name,strategy_name,placement_name,creative_name,source,impressions,clicks,conversions,conversion_revenue,cpm,spend,ctr,cpc,cpa,roas
11/4/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,surfside,326,1,0,0.0,17.0,5.54,0.31,5.54,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,surfside,122,0,0,0.0,17.0,2.07,0.0,0.0,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,surfside,3910,7,1,140.0,17.0,66.47,0.18,9.5,66.47,2.11
11/4/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,surfside,1860,3,2,56.0,17.0,31.62,0.16,10.54,15.81,1.77
11/4/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,surfside,53,0,0,0.0,17.0,0.9,0.0,0.0,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,surfside,145,0,0,0.0,17.0,2.47,0.0,0.0,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,surfside,2303,2,2,165.0,17.0,39.15,0.09,19.58,19.58,4.21
11/3/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,surfside,4834,2,0,16.67,17.0,82.18,0.04,41.09,0.0,0.2
11/3/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,surfside,375,0,1,56.0,17.0,6.38,0.0,0.0,6.38,8.78
11/3/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,surfside,91,0,0,0.0,17.0,1.55,0.0,0.0,0.0,0.0
11/5/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 6,surfside,2,0,1,127.5,17.0,0.03,0.0,0.0,0.03,4250.0
11/5/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 6,surfside,1,0,1,71.5,17.0,0.02,0.0,0.0,0.02,3575.0
11/4/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 6,surfside,371,1,0,0.0,17.0,6.31,0.27,6.31,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 6,surfside,2118,3,0,0.0,17.0,36.01,0.14,12.0,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 6,surfside,57,0,0,0.0,17.0,0.97,0.0,0.0,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 6,surfside,121,0,0,0.0,17.0,2.06,0.0,0.0,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 6,surfside,4025,2,0,0.0,17.0,68.43,0.05,34.22,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 6,surfside,2648,0,2,155.0,17.0,45.02,0.0,0.0,22.51,3.44
11/3/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 6,surfside,5302,3,2,345.0,17.0,90.13,0.06,30.04,45.07,3.83
11/3/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 6,surfside,383,1,0,0.0,17.0,6.51,0.26,6.51,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 6,surfside,90,0,0,0.0,17.0,1.53,0.0,0.0,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 6,surfside,149,0,0,0.0,17.0,2.53,0.0,0.0,0.0,0.0
11/5/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 7,surfside,1,0,0,0.0,17.0,0.02,0.0,0.0,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 7,surfside,60,0,0,0.0,17.0,1.02,0.0,0.0,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 7,surfside,150,0,0,0.0,17.0,2.55,0.0,0.0,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 7,surfside,339,0,0,0.0,17.0,5.76,0.0,0.0,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 7,surfside,1868,3,0,0.0,17.0,31.76,0.16,10.59,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 7,surfside,3894,4,0,0.0,17.0,66.2,0.1,16.55,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 7,surfside,75,0,0,0.0,17.0,1.28,0.0,0.0,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 7,surfside,126,0,0,0.0,17.0,2.14,0.0,0.0,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 7,surfside,343,1,0,0.0,17.0,5.83,0.29,5.83,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 7,surfside,2339,1,0,0.0,17.0,39.76,0.04,39.76,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 7,surfside,4990,3,0,0.0,17.0,84.83,0.06,28.28,0.0,0.0
11/9/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 8,surfside,1,0,0,0.0,17.0,0.02,0.0,0.0,0.0,0.0
11/7/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 8,surfside,1,0,2,156.0,17.0,0.02,0.0,0.0,0.01,7800.0
11/5/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 8,surfside,0,0,0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
11/5/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 8,surfside,1,0,0,0.0,17.0,0.02,0.0,0.0,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 8,surfside,4115,1,1,161.0,17.0,69.96,0.02,69.96,69.96,2.3
11/4/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 8,surfside,329,1,0,0.0,17.0,5.59,0.3,5.59,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 8,surfside,2147,3,1,180.0,17.0,36.5,0.14,12.17,36.5,4.93
11/4/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 8,surfside,44,0,0,0.0,17.0,0.75,0.0,0.0,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 8,surfside,2,1,0,0.0,17.0,0.03,50.0,0.03,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 8,surfside,94,0,0,0.0,17.0,1.6,0.0,0.0,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 8,surfside,416,1,0,0.0,17.0,7.07,0.24,7.07,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 8,surfside,154,0,1,80.0,17.0,2.62,0.0,0.0,2.62,30.53
11/3/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 8,surfside,2909,3,1,132.5,17.0,49.45,0.1,16.48,49.45,2.68
11/3/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 8,surfside,82,0,0,0.0,17.0,1.39,0.0,0.0,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 8,surfside,5293,5,3,457.0,17.0,89.98,0.09,18.0,29.99,5.08
11/3/2025,Prospecting,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 1,surfside,1,0,0,0.0,17.0,0.02,0.0,0.0,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 2,surfside,1645,0,0,0.0,17.0,27.97,0.0,0.0,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 2,surfside,121,0,0,0.0,17.0,2.06,0.0,0.0,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 2,surfside,57,0,0,0.0,17.0,0.97,0.0,0.0,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 2,surfside,435,0,0,0.0,17.0,7.4,0.0,0.0,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 2,surfside,2149,3,1,100.0,17.0,36.53,0.14,12.18,36.53,2.74
11/3/2025,Prospecting,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 2,surfside,130,0,0,0.0,17.0,2.21,0.0,0.0,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 2,surfside,99,0,1,344.0,17.0,1.68,0.0,0.0,1.68,204.76
11/3/2025,Prospecting,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 2,surfside,468,1,0,0.0,17.0,7.96,0.21,7.96,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 3,surfside,2,1,0,0.0,17.0,0.03,50.0,0.03,0.0,0.0
11/6/2025,Prospecting,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 4,surfside,1,0,0,0.0,17.0,0.02,0.0,0.0,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 4,surfside,1,0,3,1280.0,17.0,0.02,0.0,0.0,0.01,64000.0
11/3/2025,Prospecting,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 4,surfside,1,0,0,0.0,17.0,0.02,0.0,0.0,0.0,0.0
11/8/2025,Prospecting,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 5,surfside,1,0,1,30.25,17.0,0.02,0.0,0.0,0.02,1512.5
11/7/2025,Prospecting,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 5,surfside,1,0,0,0.0,17.0,0.02,0.0,0.0,0.0,0.0
11/6/2025,Prospecting,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 5,surfside,2,0,2,153.0,17.0,0.03,0.0,0.0,0.02,5100.0
11/5/2025,Prospecting,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 5,surfside,2,0,1,24.75,17.0,0.03,0.0,0.0,0.03,825.0
11/4/2025,Prospecting,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 5,surfside,1625,2,0,0.0,17.0,27.63,0.12,13.82,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 5,surfside,112,0,0,0.0,17.0,1.9,0.0,0.0,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 5,surfside,3861,4,0,0.0,17.0,65.64,0.1,16.41,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 5,surfside,425,0,0,0.0,17.0,7.23,0.0,0.0,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 5,surfside,53,0,0,0.0,17.0,0.9,0.0,0.0,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 5,surfside,96,0,0,0.0,17.0,1.63,0.0,0.0,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 5,surfside,135,1,0,0.0,17.0,2.3,0.74,2.3,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 5,surfside,4832,2,0,0.0,17.0,82.14,0.04,41.07,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 5,surfside,453,1,0,0.0,17.0,7.7,0.22,7.7,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 5,surfside,2185,0,2,102.0,17.0,37.15,0.0,0.0,18.58,2.75
